,Bowler,Bowler Team(s),Matches Bowled In,Total Wickets,Balls Bowled,Total Runs Conceded,Bowling Average,Economy Rate,Strike Rate,Balls Bowled per Match,Wickets per Match
0,A Ashish Reddy,Deccan Chargers/Sunrisers Hyderabad,19,17,256,389,22.88235294,9.1171875,15.05882353,13.47368421,0.894736842
1,A Badoni,Lucknow Super Giants,3,1,13,11,11,5.076923077,13,4.333333333,0.333333333
2,A Chandila,Rajasthan Royals,12,6,234,242,40.33333333,6.205128205,39,19.5,0.5
3,A Choudhary,Royal Challengers Bangalore,5,5,101,144,28.8,8.554455446,20.2,20.2,1
4,A Dananjaya,Mumbai Indians,1,0,24,47,0,11.75,0,24,0
5,A Flintoff,Chennai Super Kings,3,1,66,105,105,9.545454545,66,22,0.333333333
6,A Kumble,Royal Challengers Bangalore,42,44,965,1058,24.04545455,6.578238342,21.93181818,22.97619048,1.047619048
7,A Mishra,Delhi Daredevils/Delhi Capitals/Deccan Chargers/Sunrisers Hyderabad/Lucknow Super Giants,158,166,3287,4043,24.35542169,7.379981746,19.80120482,20.80379747,1.050632911
8,A Mithun,Royal Challengers Bangalore,16,7,288,472,67.42857143,9.833333333,41.14285714,18,0.4375
9,A Nehra,Chennai Super Kings/Mumbai Indians/Pune Warriors/Delhi Daredevils/Sunrisers Hyderabad,87,103,1884,2464,23.9223301,7.847133758,18.29126214,21.65517241,1.183908046
10,A Nel,Mumbai Indians,1,1,18,31,31,10.33333333,18,18,1
11,A Nortje,Delhi Capitals,39,52,898,1247,23.98076923,8.331848552,17.26923077,23.02564103,1.333333333
12,A Singh,Rajasthan Royals,23,28,473,620,22.14285714,7.864693446,16.89285714,20.56521739,1.217391304
13,A Symonds,Deccan Chargers/Mumbai Indians,30,19,527,674,35.47368421,7.673624288,27.73684211,17.56666667,0.633333333
14,A Uniyal,Rajasthan Royals,2,2,36,66,33,11,18,18,1
15,A Zampa,Rajasthan Royals/Rising Pune Supergiants/Royal Challengers Bangalore/Rising Pune Supergiant,19,28,395,505,18.03571429,7.670886076,14.10714286,20.78947368,1.473684211
16,AA Chavan,Rajasthan Royals,13,8,248,326,40.75,7.887096774,31,19.07692308,0.615384615
17,AA Jhunjhunwala,Rajasthan Royals/Deccan Chargers/Pune Warriors,10,1,85,129,129,9.105882353,85,8.5,0.1
18,AA Kazi,Royal Challengers Bangalore,1,0,12,21,0,10.5,0,12,0
19,AA Noffke,Royal Challengers Bangalore,1,1,24,40,40,10,24,24,1
20,AB Agarkar,Delhi Daredevils/Kolkata Knight Riders,41,28,776,1137,40.60714286,8.791237113,27.71428571,18.92682927,0.682926829
